,title,genre,budget,runtime,year,month,revenue
1497,Scrooged,Fantasy,,101.0,1988,11,60328000
1812,Rain Man,Drama,25000000.0,133.0,1988,12,412800000
1957,Dangerous Liaisons,Drama,14000000.0,119.0,1988,12,34670720
1006,Indiana Jones and the Last Crusade,Adventure,48000000.0,127.0,1989,5,474171806
1359,Batman,Fantasy,35000000.0,126.0,1989,6,411348924
1583,Star Trek V: The Final Frontier,Science Fiction,30000000.0,107.0,1989,6,70200000
1131,Licence to Kill,Adventure,32000000.0,133.0,1989,7,156167015
587,The Abyss,Adventure,70000000.0,139.0,1989,8,90000098
1592,Black Rain,Action,30000000.0,125.0,1989,9,45892212
1152,Back to the Future Part II,Adventure,40000000.0,108.0,1989,11,332000000
831,Tango & Cash,Action,55000000.0,104.0,1989,12,63408614
1662,Glory,,18000000.0,122.0,1989,12,26828365
1546,The Hunt for Red October,Action,30000000.0,134.0,1990,3,199200000
1165,Back to the Future Part III,Adventure,40000000.0,118.0,1990,5,244527583
207,Total Recall,Action,65000000.0,113.0,1990,6,261317921
706,Days of Thunder,Adventure,60000000.0,107.0,1990,6,157920733
953,Gremlins 2: The New Batch,Comedy,50000000.0,106.0,1990,6,41482207
1024,Dick Tracy,Adventure,47000000.0,103.0,1990,6,103738726
573,Die Hard 2,Action,70000000.0,124.0,1990,7,240031094
1003,The Adventures of Ford Fairlane,Action,49000000.0,104.0,1990,7,20423389
1534,Arachnophobia,Comedy,31000000.0,103.0,1990,8,53208180
1786,Flatliners,Drama,26000000.0,115.0,1990,8,61489265
1847,GoodFellas,Drama,25000000.0,145.0,1990,9,46836394
1412,Predator 2,Science Fiction,35000000.0,108.0,1990,11,57120318
867,The Godfather: Part III,Crime,54000000.0,162.0,1990,12,136766062
1782,Kindergarten Cop,Comedy,15000000.0,111.0,1990,12,201957688
1440,Flight of the Intruder,Action,35000000.0,115.0,1991,1,0
1221,The Doors,Drama,38000000.0,140.0,1991,3,34416893
1827,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Science Fiction,25000000.0,88.0,1991,3,78000000
664,Hudson Hawk,Action,65000000.0,100.0,1991,5,17218080
1930,Stone Cold,Action,,92.0,1991,5,0
901,Robin Hood: Prince of Thieves,Adventure,48000000.0,143.0,1991,6,390493908
1992,The Naked Gun 2½: The Smell of Fear,Comedy,23000000.0,85.0,1991,6,86930411
279,Terminator 2: Judgment Day,Action,100000000.0,137.0,1991,7,520000000
1967,The Fisher King,Comedy,24000000.0,137.0,1991,9,41895491
1369,Cape Fear,Crime,35000000.0,128.0,1991,11,182300000
1549,The Addams Family,Horror,30000000.0,99.0,1991,11,191502426
572,Hook,Adventure,70000000.0,144.0,1991,12,300854823
1181,JFK,Drama,40000000.0,189.0,1991,12,205405498
1563,The Prince of Tides,Drama,30000000.0,132.0,1991,12,74787599
1750,Star Trek VI: The Undiscovered Country,Science Fiction,27000000.0,113.0,1991,12,96900000
1212,Medicine Man,Adventure,40000000.0,106.0,1992,2,0
1259,Memoirs of an Invisible Man,Comedy,40000000.0,99.0,1992,2,14358033
1455,Radio Flyer,Drama,35000000.0,114.0,1992,2,4651977
838,Alien³,Science Fiction,50000000.0,114.0,1992,5,159773545
1361,Lethal Weapon 3,Adventure,35000000.0,118.0,1992,5,321731527
428,Batman Returns,Action,80000000.0,126.0,1992,6,280000000
1049,Patriot Games,Drama,45000000.0,117.0,1992,6,178051587
1123,Boomerang,Comedy,40000000.0,117.0,1992,6,70100000
832,Death Becomes Her,Fantasy,55000000.0,104.0,1992,7,149022650
1159,A League of Their Own,Comedy,40000000.0,128.0,1992,7,107458785
1175,The Last of the Mohicans,Action,40000000.0,112.0,1992,9,75505856
1167,Dracula,Romance,40000000.0,128.0,1992,11,215862692
1387,Malcolm X,Drama,34000000.0,202.0,1992,11,48169908
1695,Aladdin,Animation,28000000.0,90.0,1992,11,504050219
1817,The Bodyguard,Thriller,25000000.0,129.0,1992,11,411006740
1421,Hoffa,Crime,35000000.0,140.0,1992,12,0
1478,A Few Good Men,Drama,40000000.0,138.0,1992,12,243240178
1507,Alive,Action,32000000.0,120.0,1993,1,36733909
1456,Bound by Honor,Action,35000000.0,180.0,1993,2,0
644,Cliffhanger,Action,70000000.0,112.0,1993,5,255000211
1134,Super Mario Bros.,Adventure,48000000.0,104.0,1993,5,20915465
403,Last Action Hero,Adventure,85000000.0,130.0,1993,6,137298489
675,Jurassic Park,Adventure,63000000.0,127.0,1993,6,920100000
1116,The Firm,Drama,42000000.0,154.0,1993,6,270248367
1718,Hocus Pocus,Comedy,28000000.0,96.0,1993,7,39514713
1103,The Fugitive,Adventure,44000000.0,130.0,1993,8,368875760
1467,The Age of Innocence,Drama,34000000.0,139.0,1993,9,32255440
1984,The Thief and the Cobbler,Adventure,28000000.0,72.0,1993,9,669276
1922,Gettysburg,,,254.0,1993,10,25000000
1811,Mrs. Doubtfire,Comedy,25000000.0,125.0,1993,11,441286195
1818,Schindler's List,Drama,22000000.0,195.0,1993,11,321365567
1046,The Pelican Brief,Drama,45000000.0,141.0,1993,12,195268056
1836,Tombstone,Action,25000000.0,130.0,1993,12,56505065
959,On Deadly Ground,Action,50000000.0,102.0,1994,2,49000000
1283,The Hudsucker Proxy,Comedy,30000000.0,111.0,1994,3,0
1585,The Naked Gun 33⅓: The Final Insult,Comedy,30000000.0,83.0,1994,3,51132598
952,Beverly Hills Cop III,Action,50000000.0,104.0,1994,5,119208989
1040,The Flintstones,Fantasy,46000000.0,91.0,1994,5,341631208
1289,The Crow,Fantasy,15000000.0,102.0,1994,5,94000000
494,The Lion King,,45000000.0,89.0,1994,6,788241776
584,Wolf,Fantasy,,125.0,1994,6,0
676,Wyatt Earp,Drama,63000000.0,191.0,1994,6,25052000
1244,Renaissance Man,Comedy,40000000.0,128.0,1994,6,24332324
1542,Speed,Action,30000000.0,116.0,1994,6,350448145
282,True Lies,Action,115000000.0,141.0,1994,7,378882411
809,Forrest Gump,Comedy,55000000.0,142.0,1994,7,677945399
989,Baby's Day Out,Action,50000000.0,99.0,1994,7,16671505
1047,The Client,Drama,45000000.0,119.0,1994,7,117615211
1230,The Shadow,Adventure,25000000.0,108.0,1994,7,48063435
677,Clear and Present Danger,Action,62000000.0,141.0,1994,8,215887717
1073,The River Wild,Action,45000000.0,111.0,1994,9,0
1715,Timecop,Thriller,27000000.0,99.0,1994,9,101646581
1881,The Shawshank Redemption,Drama,25000000.0,142.0,1994,9,28341469
1064,The Specialist,Action,45000000.0,110.0,1994,10,170362582
1890,Don Juan DeMarco,Romance,25000000.0,97.0,1994,10,22200000
912,Interview with the Vampire,Horror,60000000.0,123.0,1994,11,223664608
1303,Star Trek: Generations,Science Fiction,38000000.0,118.0,1994,11,120000000
1802,Highlander: The Final Dimension,Action,26000000.0,99.0,1994,11,36800000
826,Disclosure,Drama,55000000.0,123.0,1994,12,214015089
1214,Ri¢hie Ri¢h,Comedy,40000000.0,95.0,1994,12,0
1404,Street Fighter,Action,35000000.0,102.0,1994,12,99423521
1564,Legends of the Fall,Adventure,30000000.0,133.0,1994,12,160638883
1514,The Quick and the Dead,Action,32000000.0,107.0,1995,2,18552460
929,Outbreak,Action,50000000.0,127.0,1995,3,189859560
1936,Tank Girl,Action,25000000.0,98.0,1995,3,4064495
1253,Kiss of Death,Action,40000000.0,101.0,1995,4,0
1726,Rob Roy,Adventure,28000000.0,139.0,1995,4,31596911
1991,Bad Boys,Action,19000000.0,118.0,1995,4,141407024
299,Batman Forever,Action,100000000.0,121.0,1995,5,336529144
355,Die Hard: With a Vengeance,Action,90000000.0,128.0,1995,5,366101666
556,Braveheart,Action,72000000.0,177.0,1995,5,210000000
820,Casper,Fantasy,50000000.0,100.0,1995,5,287928194
823,Crimson Tide,Action,53000000.0,116.0,1995,5,157387195
635,Apollo 13,Drama,52000000.0,140.0,1995,6,355237933
812,Pocahontas,Adventure,55000000.0,81.0,1995,6,346079773
920,Congo,Action,50000000.0,109.0,1995,6,152022101
75,Waterworld,Adventure,175000000.0,135.0,1995,7,264218220
535,First Knight,Action,55000000.0,134.0,1995,7,127600435
736,Under Siege 2: Dark Territory,Action,60000000.0,100.0,1995,7,104324083
1074,The Indian in the Cupboard,Adventure,45000000.0,96.0,1995,7,0
1377,Species,Science Fiction,35000000.0,108.0,1995,7,113374103
1570,Babe,Fantasy,30000000.0,89.0,1995,7,254134910
1625,Virtuosity,Action,30000000.0,106.0,1995,8,24048000
1251,Showgirls,Drama,45000000.0,128.0,1995,9,20350754
1281,Hackers,Action,20000000.0,107.0,1995,9,7563728
1460,The Horseman on the Roof,,35000000.0,135.0,1995,9,15000000
1553,Se7en,Crime,33000000.0,127.0,1995,9,327311859
969,Assassins,Action,50000000.0,132.0,1995,10,30303072
990,The Scarlet Letter,Drama,50000000.0,135.0,1995,10,10382407
993,Jade,Action,50000000.0,95.0,1995,10,9851610
1537,Get Shorty,Comedy,30250000.0,105.0,1995,10,115101622
1541,Toy Story,Animation,30000000.0,81.0,1995,10,373554033
615,Money Train,Action,60000000.0,103.0,1995,11,35431113
681,The American President,Comedy,62000000.0,106.0,1995,11,107879496
695,GoldenEye,Adventure,58000000.0,130.0,1995,11,352194034
892,Casino,Drama,52000000.0,178.0,1995,11,116112375
1550,Ace Ventura: When Nature Calls,Crime,30000000.0,90.0,1995,11,212385533
340,Cutthroat Island,Action,98000000.0,119.0,1995,12,10017322
1091,Nixon,,44000000.0,192.0,1995,12,13681765
1527,Mr. Holland's Opus,,,137.0,1995,12,106269971
645,Broken Arrow,Action,50000000.0,108.0,1996,2,150270147
1030,Mary Reilly,Drama,47000000.0,104.0,1996,2,12379402
1107,The Juror,Drama,44000000.0,118.0,1996,2,0
1250,City Hall,Drama,,111.0,1996,2,0
1317,White Squall,Action,38000000.0,129.0,1996,2,10300000
733,Up Close & Personal,Drama,60000000.0,119.0,1996,3,0
834,Executive Decision,Action,55000000.0,133.0,1996,3,121969216
1301,Sgt. Bilko,Comedy,,90.0,1996,3,0
1927,Mrs. Winterbourne,Comedy,25000000.0,105.0,1996,4,10070000
383,Twister,Action,92000000.0,113.0,1996,5,494471524
425,Mission: Impossible,Adventure,80000000.0,110.0,1996,5,457696359
803,DragonHeart,Fantasy,57000000.0,103.0,1996,5,115267375
1807,Flipper,Adventure,25530000.0,95.0,1996,5,20080020
286,Eraser,Action,100000000.0,115.0,1996,6,242295562
288,The Hunchback of Notre Dame,Drama,100000000.0,91.0,1996,6,100138851
507,Independence Day,Action,75000000.0,145.0,1996,6,816969268
513,The Rock,Action,75000000.0,136.0,1996,6,335062621
814,The Nutty Professor,Fantasy,54000000.0,95.0,1996,6,128769345
965,Striptease,Drama,50000000.0,115.0,1996,6,113309743
1022,The Cable Guy,Comedy,47000000.0,96.0,1996,6,102825796
1089,The Phantom,Adventure,45000000.0,100.0,1996,6,17300889
1036,Courage Under Fire,Drama,46000000.0,117.0,1996,7,100860818
1085,Multiplicity,Comedy,45000000.0,117.0,1996,7,0
1156,A Time to Kill,Crime,40000000.0,149.0,1996,7,152266007
1495,Phenomenon,Drama,32000000.0,123.0,1996,7,152036382
1636,Fled,Action,25000000.0,98.0,1996,7,17193231
1883,Kingpin,Comedy,27000000.0,113.0,1996,7,25023434
1900,The Adventures of Pinocchio,Animation,,90.0,1996,7,0
850,Chain Reaction,Action,50000000.0,107.0,1996,8,60209334
851,The Fan,Drama,55000000.0,116.0,1996,8,18626419
976,Escape from L.A.,Action,50000000.0,97.0,1996,8,42277365
1065,Tin Cup,Comedy,45000000.0,135.0,1996,8,53854588
1238,The Island of Dr. Moreau,Fantasy,40000000.0,96.0,1996,8,49627779
1314,Extreme Measures,Drama,38000000.0,118.0,1996,9,17380126
1519,Bogus,Fantasy,32000000.0,110.0,1996,9,0
1552,The First Wives Club,Comedy,26000000.0,102.0,1996,9,116400000
1907,Maximum Risk,Action,25000000.0,100.0,1996,9,51702483
659,The Long Kiss Goodnight,Crime,65000000.0,120.0,1996,10,89456761
841,The Ghost and the Darkness,Adventure,50000000.0,109.0,1996,10,75000000
1084,The Glimmer Man,Action,45000000.0,92.0,1996,10,0
1105,Sleepers,Crime,44000000.0,147.0,1996,10,165615285
1803,Blood and Wine,Crime,26000000.0,101.0,1996,10,0
1921,Michael Collins,Drama,28000000.0,132.0,1996,10,16900000
452,Space Jam,Animation,80000000.0,88.0,1996,11,250200000
570,Ransom,Action,80000000.0,117.0,1996,11,309492681
727,Jingle All the Way,,60000000.0,89.0,1996,11,129832389
1034,Star Trek: First Contact,Science Fiction,46000000.0,111.0,1996,11,150000000
1128,The Mirror Has Two Faces,Comedy,42000000.0,126.0,1996,11,0
1373,The English Patient,Drama,27000000.0,162.0,1996,11,231976425
473,Mars Attacks!,Comedy,70000000.0,106.0,1996,12,101371017
478,Daylight,Action,80000000.0,115.0,1996,12,159212469
839,Evita,,55000000.0,134.0,1996,12,141047179
902,Jerry Maguire,Comedy,50000000.0,139.0,1996,12,273552592
1349,Ghosts of Mississippi,,,130.0,1996,12,0
759,The Relic,Horror,60000000.0,110.0,1997,1,33956608
856,Turbulence,Action,55000000.0,100.0,1997,1,11466088
1099,Shadow Conspiracy,Action,45000000.0,103.0,1997,1,2154540
240,Dante's Peak,Action,116000000.0,108.0,1997,2,178127760
944,Absolute Power,Crime,50000000.0,121.0,1997,2,50068310
1394,Donnie Brasco,Crime,35000000.0,127.0,1997,2,41954997
1457,Smilla's Sense of Snow,Action,35000000.0,121.0,1997,2,0
377,The Devil's Own,Crime,90000000.0,107.0,1997,3,140807547
1037,Liar Liar,Comedy,45000000.0,86.0,1997,3,181000000
1521,Cats Don't Dance,Animation,32000000.0,75.0,1997,3,3566637
371,The Saint,Thriller,68000000.0,116.0,1997,4,118063304
376,Volcano,Science Fiction,90000000.0,104.0,1997,4,0
1059,Anaconda,Adventure,45000000.0,89.0,1997,4,136885767
322,The Fifth Element,Adventure,90000000.0,126.0,1997,5,263920180
508,The Lost World: Jurassic Park,Adventure,73000000.0,129.0,1997,5,229074524
1342,Breakdown,Drama,36000000.0,95.0,1997,5,50159144
1453,Warriors of Virtue,Fantasy,,103.0,1997,5,0
210,Batman & Robin,Action,125000000.0,125.0,1997,6,238207122
259,Speed 2: Cruise Control,Action,160000000.0,121.0,1997,6,164508066
442,Face/Off,Action,80000000.0,138.0,1997,6,245676146
446,Con Air,Action,75000000.0,115.0,1997,6,224012234
1031,My Best Friend's Wedding,Comedy,38000000.0,105.0,1997,6,299288605
342,Men in Black,Action,90000000.0,98.0,1997,7,589390539
365,Contact,Drama,90000000.0,150.0,1997,7,171120329
387,Air Force One,Action,85000000.0,124.0,1997,7,315156409
816,George of the Jungle,Adventure,55000000.0,92.0,1997,7,0
1192,Spawn,Action,40000000.0,96.0,1997,7,87840042
1734,A Simple Wish,Adventure,28000000.0,86.0,1997,7,8345056
1804,Snow White: A Tale of Terror,Fantasy,26000000.0,100.0,1997,7,0
1851,Nothing to Lose,Action,25000000.0,97.0,1997,7,0
455,Conspiracy Theory,Action,75000000.0,135.0,1997,8,136982834
770,Event Horizon,Horror,60000000.0,96.0,1997,8,26673242
945,G.I. Jane,Action,50000000.0,125.0,1997,8,48169156
1854,Money Talks,Action,,97.0,1997,8,0
314,The Spanish Prisoner,Crime,10000000.0,110.0,1997,9,13835130
475,The Edge,Action,,117.0,1997,9,43312294
592,Seven Years in Tibet,Adventure,70000000.0,136.0,1997,9,131457682
946,The Game,Drama,50000000.0,129.0,1997,9,109423648
955,The Peacemaker,Action,50000000.0,124.0,1997,9,0
1352,Gattaca,Thriller,36000000.0,106.0,1997,9,12532777
1374,L.A. Confidential,Crime,35000000.0,138.0,1997,9,126216940
1376,In & Out,Comedy,35000000.0,90.0,1997,9,0
801,The Devil's Advocate,Drama,57000000.0,144.0,1997,10,152944660
1320,Switchback,Action,37000000.0,118.0,1997,10,6482195
1752,Kiss the Girls,Drama,27000000.0,115.0,1997,10,60527873
25,Titanic,Drama,200000000.0,194.0,1997,11,1845034188
300,Starship Troopers,Adventure,105000000.0,129.0,1997,11,121214377
450,Flubber,Comedy,80000000.0,93.0,1997,11,177977226
731,The Jackal,Action,60000000.0,124.0,1997,11,159330280
740,Alien: Resurrection,Science Fiction,70000000.0,109.0,1997,11,162000000
874,Anastasia,Animation,53000000.0,94.0,1997,11,139804348
988,Mad City,Action,50000000.0,114.0,1997,11,10541523
1209,The Rainmaker,Drama,40000000.0,135.0,1997,11,45916769
1418,Midnight in the Garden of Good and Evil,Crime,35000000.0,155.0,1997,11,25105255
1611,Mortal Kombat: Annihilation,Action,30000000.0,95.0,1997,11,51376861
245,Tomorrow Never Dies,Adventure,110000000.0,119.0,1997,12,333011068
484,The Postman,Drama,80000000.0,177.0,1997,12,17626234
904,As Good as It Gets,Comedy,50000000.0,139.0,1997,12,314178011
1211,Amistad,Drama,36000000.0,155.0,1997,12,74000000
1686,The Borrowers,Adventure,29000000.0,86.0,1997,12,0
1738,Kundun,Drama,28000000.0,134.0,1997,12,5684789
1878,Spice World,Adventure,25000000.0,93.0,1997,12,100000000
1961,Scream 2,Horror,24000000.0,120.0,1997,12,172363301
603,Hard Rain,Thriller,70000000.0,97.0,1998,1,19870567
1093,Deep Rising,Adventure,45000000.0,106.0,1998,1,11203026
549,Sphere,Science Fiction,75000000.0,134.0,1998,2,13100000
1635,The Replacement Killers,Action,30000000.0,87.0,1998,2,19204929
1762,Dark City,,27000000.0,100.0,1998,2,27200316
656,Primary Colors,Comedy,65000000.0,143.0,1998,3,0
729,A Civil Action,Drama,70000000.0,115.0,1998,3,56702901
1380,The Man in the Iron Mask,Action,,132.0,1998,3,0
1765,The Newton Boys,Crime,27000000.0,113.0,1998,3,76000000
1983,Meet the Deedles,Animation,24000000.0,93.0,1998,3,4562146
461,Lost in Space,Adventure,80000000.0,130.0,1998,4,136159423
463,Déjà Vu,Romance,,117.0,1998,4,0
762,Mercury Rising,Action,60000000.0,111.0,1998,4,0
827,City of Angels,Drama,55000000.0,114.0,1998,4,198685114
432,Deep Impact,Action,75000000.0,120.0,1998,5,140464664
713,The Horse Whisperer,Drama,60000000.0,170.0,1998,5,186883563
1246,Quest for Camelot,Fantasy,40000000.0,86.0,1998,5,38172500
1575,Hope Floats,Drama,,114.0,1998,5,0
1622,Bulworth,Comedy,30000000.0,108.0,1998,5,29202884
1889,He Got Game,Drama,25000000.0,136.0,1998,5,21567853
352,Mulan,Animation,90000000.0,88.0,1998,6,304320254
457,Six Days Seven Nights,Action,70000000.0,98.0,1998,6,164000000
563,Doctor Dolittle,Comedy,71000000.0,85.0,1998,6,294456605
626,The X Files,,66000000.0,121.0,1998,6,189198313
697,The Truman Show,Comedy,60000000.0,103.0,1998,6,264118201
1021,Out of Sight,Romance,48000000.0,123.0,1998,6,77745568
149,Armageddon,Action,140000000.0,151.0,1998,7,553799566
164,Lethal Weapon 4,Action,140000000.0,127.0,1998,7,285444603
628,Saving Private Ryan,Drama,70000000.0,169.0,1998,7,481840909
640,The Mask of Zorro,Action,95000000.0,136.0,1998,7,250288523
950,The Negotiator,Action,50000000.0,140.0,1998,7,44547681
1191,Small Soldiers,Comedy,40000000.0,110.0,1998,7,54682547
1784,Ever After: A Cinderella Story,Drama,26000000.0,121.0,1998,7,65705772
548,Snake Eyes,Crime,73000000.0,98.0,1998,8,103891409
1056,Blade,Horror,45000000.0,120.0,1998,8,131183530
840,Ronin,Action,55000000.0,122.0,1998,9,41610884
1023,Earth,Drama,,101.0,1998,9,528972
1447,Knock Off,Action,33000000.0,91.0,1998,9,0
1624,One True Thing,Drama,,127.0,1998,9,0
1875,Elizabeth,Drama,30000000.0,124.0,1998,9,82150642
1943,Without Limits,Drama,25000000.0,117.0,1998,9,777423
470,What Dreams May Come,Drama,85000000.0,113.0,1998,10,71485043
541,Soldier,Action,75000000.0,99.0,1998,10,14567883
704,Antz,Adventure,60000000.0,83.0,1998,10,171757863
743,Practical Magic,Drama,75000000.0,104.0,1998,10,46683377
789,Holy Man,Drama,60000000.0,114.0,1998,10,0
881,Beloved,Drama,,172.0,1998,10,0
1876,Bride of Chucky,Horror,25000000.0,89.0,1998,10,50671850
396,Enemy of the State,Action,90000000.0,132.0,1998,11,250649836
407,Meet Joe Black,Fantasy,90000000.0,178.0,1998,11,142940100
485,Babe: Pig in the City,Adventure,90000000.0,92.0,1998,11,69131860
590,The Siege,Drama,70000000.0,116.0,1998,11,116672912
1062,A Bug's Life,Adventure,120000000.0,95.0,1998,11,363258859
1698,The Rugrats Movie,Animation,30000000.0,79.0,1998,11,100491683
1968,I Still Know What You Did Last Summer,Horror,65000000.0,100.0,1998,11,40002112
1989,The Waterboy,Comedy,23000000.0,90.0,1998,11,185991646
467,Mighty Joe Young,Action,90000000.0,114.0,1998,12,0
581,Star Trek: Insurrection,Science Fiction,70000000.0,103.0,1998,12,118000000
638,You've Got Mail,Comedy,65000000.0,119.0,1998,12,250821495
698,The Prince of Egypt,Adventure,70000000.0,99.0,1998,12,218613188
889,The Thin Red Line,Drama,52000000.0,170.0,1998,12,98126565
905,Patch Adams,Comedy,50000000.0,115.0,1998,12,202292902
915,Stepmom,Drama,,124.0,1998,12,0
1780,Shakespeare in Love,Romance,25000000.0,122.0,1998,12,289317794
1248,At First Sight,Drama,,128.0,1999,1,0
1651,In Dreams,Drama,,100.0,1999,1,0
752,My Favorite Martian,Comedy,65000000.0,94.0,1999,2,36850101
919,Payback,Drama,90000000.0,100.0,1999,2,161626121
1220,8MM,Thriller,40000000.0,123.0,1999,2,96618699
1414,Blast from the Past,Comedy,35000000.0,112.0,1999,2,40263020
1582,Message in a Bottle,Romance,80000000.0,131.0,1999,2,118880016
634,The Matrix,Action,63000000.0,136.0,1999,3,463517383
780,Edtv,Comedy,80000000.0,122.0,1999,3,0
1264,The Deep End of the Ocean,Drama,38000000.0,106.0,1999,3,28121100
1558,Analyze This,Comedy,80000000.0,103.0,1999,3,176885658
1650,Wing Commander,Action,30000000.0,100.0,1999,3,0
625,Entrapment,Romance,66000000.0,112.0,1999,4,212404396
1237,The Out-of-Towners,Comedy,75000000.0,90.0,1999,4,29000000
1489,Pushing Tin,Comedy,33000000.0,124.0,1999,4,0
233,Star Wars: Episode I - The Phantom Menace,Adventure,115000000.0,136.0,1999,5,924317558
1120,Notting Hill,Romance,42000000.0,124.0,1999,5,363889678
70,Wild Wild West,Action,170000000.0,106.0,1999,6,222104681
696,The General's Daughter,Crime,60000000.0,116.0,1999,6,149705852
845,Instinct,Drama,80000000.0,126.0,1999,6,0
1358,Austin Powers: The Spy Who Shagged Me,Adventure,33000000.0,95.0,1999,6,310940086
1539,Big Daddy,Comedy,34200000.0,93.0,1999,6,234801895
451,The Haunting,Horror,80000000.0,113.0,1999,7,91188905
518,Inspector Gadget,Action,75000000.0,78.0,1999,7,0
567,Runaway Bride,Comedy,70000000.0,116.0,1999,7,309457509
650,Eyes Wide Shut,,65000000.0,159.0,1999,7,162091208
718,Deep Blue Sea,Action,60000000.0,105.0,1999,7,73648228
