,title,genre,budget,runtime,year,month,revenue
27,Battleship,Thriller,209000000.0,131.0,2012,4,303025485.0
28,Jurassic World,Action,150000000.0,124.0,2015,6,1513528810.0
29,Skyfall,Action,200000000.0,143.0,2012,10,1108561013.0
30,Spider-Man 2,Action,200000000.0,127.0,2004,6,783766341.0
31,Iron Man 3,Action,200000000.0,130.0,2013,4,1215439994.0
32,Alice in Wonderland,NA,200000000.0,108.0,2010,3,1025491110.0
33,X-Men: The Last Stand,Adventure,210000000.0,104.0,2006,5,459359555.0
34,Monsters University,Animation,200000000.0,104.0,2013,6,743559607.0
35,Transformers: Revenge of the Fallen,Science Fiction,150000000.0,150.0,2009,6,836297228.0
36,Transformers: Age of Extinction,Science Fiction,210000000.0,165.0,2014,6,1091405097.0
37,Oz: The Great and Powerful,Fantasy,200000000.0,130.0,2013,3,491868548.0
38,The Amazing Spider-Man 2,Action,200000000.0,142.0,2014,4,705717432.0
39,TRON: Legacy,Adventure,170000000.0,125.0,2010,12,400062763.0
40,Cars 2,Animation,200000000.0,106.0,2011,6,559852396.0
41,Green Lantern,Adventure,200000000.0,114.0,2011,6,219851172.0
42,Toy Story 3,Animation,200000000.0,103.0,2010,6,1066969703.0
43,Terminator Salvation,Action,200000000.0,115.0,2009,5,371353001.0
44,Furious 7,Action,190000000.0,137.0,2015,4,1506249360.0
45,World War Z,Action,200000000.0,116.0,2013,6,531865000.0
46,X-Men: Days of Future Past,Action,250000000.0,131.0,2014,5,747862775.0
47,Star Trek Into Darkness,Action,190000000.0,132.0,2013,5,467365246.0
48,Jack the Giant Slayer,Action,195000000.0,114.0,2013,2,197687603.0
49,The Great Gatsby,Drama,105000000.0,143.0,2013,5,351040419.0
50,Prince of Persia: The Sands of Time,Adventure,150000000.0,116.0,2010,5,335154643.0
51,Pacific Rim,Action,180000000.0,131.0,2013,7,407602906.0
52,Transformers: Dark of the Moon,Action,195000000.0,154.0,2011,6,1123746996.0
53,Indiana Jones and the Kingdom of the Crystal Skull,Adventure,185000000.0,122.0,2008,5,786636033.0
54,The Good Dinosaur,Adventure,175000000.0,93.0,2015,11,331926147.0
55,Brave,Animation,185000000.0,93.0,2012,6,538983207.0
56,Star Trek Beyond,Action,185000000.0,122.0,2016,7,343471816.0
57,WALL·E,Animation,180000000.0,98.0,2008,6,521311860.0
58,Rush Hour 3,Action,140000000.0,91.0,2007,8,258022233.0
59,2012,Action,200000000.0,158.0,2009,10,769653595.0
60,A Christmas Carol,Animation,200000000.0,96.0,2009,11,325233863.0
61,Jupiter Ascending,Science Fiction,176000003.0,124.0,2015,2,183987723.0
62,The Legend of Tarzan,Action,180000000.0,109.0,2016,6,356743061.0
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,180000000.0,143.0,2005,12,748806957.0
64,X-Men: Apocalypse,Science Fiction,178000000.0,144.0,2016,5,543934787.0
65,The Dark Knight,Drama,185000000.0,152.0,2008,7,1004558444.0
66,Up,Animation,175000000.0,96.0,2009,5,735099082.0
67,Monsters vs Aliens,Animation,175000000.0,94.0,2009,3,381509870.0
68,Iron Man,Action,140000000.0,126.0,2008,4,585174222.0
69,Hugo,Adventure,170000000.0,126.0,2011,11,185770160.0
70,Wild Wild West,Action,170000000.0,106.0,1999,6,222104681.0
71,The Mummy: Tomb of the Dragon Emperor,Adventure,145000000.0,112.0,2008,7,401128639.0
72,Suicide Squad,Action,175000000.0,123.0,2016,8,745000000.0
73,Evan Almighty,Fantasy,175000000.0,96.0,2007,6,173000000.0
74,Edge of Tomorrow,Action,178000000.0,113.0,2014,5,370541256.0
75,Waterworld,Adventure,175000000.0,135.0,1995,7,264218220.0
76,G.I. Joe: The Rise of Cobra,Adventure,175000000.0,118.0,2009,8,302469017.0
77,Inside Out,Drama,175000000.0,94.0,2015,6,857611174.0
78,The Jungle Book,NA,175000000.0,106.0,2016,4,966550600.0
79,Iron Man 2,Adventure,200000000.0,124.0,2010,4,623933331.0
80,Snow White and the Huntsman,Adventure,170000000.0,127.0,2012,5,396600000.0
81,Maleficent,Fantasy,180000000.0,97.0,2014,5,758539785.0
82,Dawn of the Planet of the Apes,Science Fiction,170000000.0,130.0,2014,6,710644566.0
83,The Lovers,Action,27000000.0,109.0,2015,2,
84,47 Ronin,Drama,175000000.0,119.0,2013,12,150962475.0
85,Captain America: The Winter Soldier,Action,170000000.0,136.0,2014,3,714766572.0
86,Shrek Forever After,Comedy,165000000.0,93.0,2010,5,752600867.0
87,Tomorrowland,Adventure,190000000.0,130.0,2015,5,209154322.0
88,Big Hero 6,Adventure,165000000.0,102.0,2014,10,652105443.0
89,Wreck-It Ralph,NA,165000000.0,108.0,2012,11,471222889.0
90,The Polar Express,Adventure,165000000.0,100.0,2004,11,305875730.0
91,Independence Day: Resurgence,Action,165000000.0,120.0,2016,6,389681935.0
92,How to Train Your Dragon,Fantasy,165000000.0,98.0,2010,3,494878759.0
93,Terminator 3: Rise of the Machines,Action,200000000.0,109.0,2003,7,435000000.0
94,Guardians of the Galaxy,Action,170000000.0,121.0,2014,7,773328629.0
95,Interstellar,Adventure,165000000.0,169.0,2014,11,675120017.0
96,Inception,Action,160000000.0,148.0,2010,7,825532764.0
97,Shin Godzilla,Action,15000000.0,120.0,2016,7,77000000.0
98,The Hobbit: An Unexpected Journey,Adventure,250000000.0,169.0,2012,11,1021103568.0
99,The Fast and the Furious,Action,38000000.0,106.0,2001,6,207283925.0
100,The Curious Case of Benjamin Button,Fantasy,150000000.0,166.0,2008,11,333932083.0
101,X-Men: First Class,Action,160000000.0,132.0,2011,5,353624124.0
102,The Hunger Games: Mockingjay - Part 2,Action,160000000.0,137.0,2015,11,653428261.0
103,The Sorcerer's Apprentice,Fantasy,150000000.0,109.0,2010,7,215283742.0
104,Poseidon,Adventure,160000000.0,99.0,2006,5,181674817.0
105,Alice Through the Looking Glass,Fantasy,170000000.0,113.0,2016,5,299370084.0
106,Shrek the Third,Fantasy,160000000.0,93.0,2007,5,798958165.0
107,Warcraft,Action,160000000.0,123.0,2016,5,433677183.0
108,Terminator Genisys,Science Fiction,155000000.0,126.0,2015,6,440603537.0
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,155000000.0,113.0,2010,8,415686217.0
110,Pearl Harbor,NA,140000000.0,183.0,2001,5,449220945.0
111,Transformers,Adventure,150000000.0,144.0,2007,6,709709780.0
112,Alexander,NA,155000000.0,175.0,2004,11,167298192.0
113,Harry Potter and the Order of the Phoenix,Adventure,150000000.0,138.0,2007,6,938212738.0
114,Harry Potter and the Goblet of Fire,Adventure,150000000.0,157.0,2005,11,895921036.0
115,Hancock,Fantasy,150000000.0,92.0,2008,7,624029371.0
116,I Am Legend,Drama,150000000.0,101.0,2007,12,585349010.0
117,Charlie and the Chocolate Factory,Adventure,150000000.0,115.0,2005,7,474968763.0
118,Ratatouille,Animation,150000000.0,111.0,2007,6,623722818.0
119,Batman Begins,Action,150000000.0,140.0,2005,6,374218673.0
120,Madagascar: Escape 2 Africa,NA,150000000.0,89.0,2008,10,603900354.0
121,Night at the Museum: Battle of the Smithsonian,Adventure,150000000.0,105.0,2009,5,413106170.0
122,X-Men Origins: Wolverine,Adventure,150000000.0,107.0,2009,4,373062864.0
123,The Matrix Revolutions,Adventure,150000000.0,129.0,2003,11,424988211.0
124,Frozen,Animation,150000000.0,102.0,2013,11,1274219009.0
125,The Matrix Reloaded,Adventure,150000000.0,138.0,2003,5,738599701.0
126,Thor: The Dark World,Action,170000000.0,112.0,2013,10,644571402.0
127,Mad Max: Fury Road,Action,150000000.0,120.0,2015,5,378858340.0
128,Angels & Demons,Thriller,150000000.0,138.0,2009,5,356613439.0
129,Thor,Adventure,150000000.0,115.0,2011,4,449326618.0
130,Bolt,Animation,150000000.0,98.0,2008,11,309979994.0
131,G-Force,Fantasy,150000000.0,88.0,2009,7,292817841.0
132,Wrath of the Titans,Adventure,150000000.0,99.0,2012,3,301000000.0
133,Dark Shadows,Comedy,150000000.0,113.0,2012,5,245527149.0
134,Mission: Impossible - Rogue Nation,Action,150000000.0,131.0,2015,7,682330139.0
135,The Wolfman,Drama,150000000.0,102.0,2010,2,
136,Bee Movie,NA,150000000.0,91.0,2007,10,287594577.0
137,Kung Fu Panda 2,Animation,150000000.0,91.0,2011,5,665692281.0
138,The Last Airbender,Action,150000000.0,103.0,2010,6,318502923.0
139,Mission: Impossible III,Adventure,150000000.0,126.0,2006,5,397850012.0
140,White House Down,Action,150000000.0,131.0,2013,6,205366737.0
141,Mars Needs Moms,Adventure,150000000.0,88.0,2011,3,38992758.0
142,Flushed Away,Adventure,149000000.0,85.0,2006,10,64459316.0
143,Pan,Adventure,150000000.0,111.0,2015,9,128388320.0
144,Mr. Peabody & Sherman,Animation,145000000.0,92.0,2014,2,272912430.0
145,Troy,Adventure,175000000.0,163.0,2004,5,497409852.0
146,Madagascar 3: Europe's Most Wanted,Animation,145000000.0,93.0,2012,6,746921274.0
147,Die Another Day,Adventure,140000000.0,133.0,2002,11,431971116.0
148,Ghostbusters,Action,144000000.0,116.0,2016,7,229147509.0
149,Armageddon,Action,140000000.0,151.0,1998,7,553799566.0
150,Men in Black II,Action,140000000.0,88.0,2002,7,441818803.0
151,Beowulf,Adventure,70000000.0,115.0,2007,11,195735876.0
152,Kung Fu Panda 3,Action,145000000.0,95.0,2016,1,521170825.0
153,Mission: Impossible - Ghost Protocol,Action,145000000.0,133.0,2011,12,694713380.0
154,Rise of the Guardians,Fantasy,145000000.0,97.0,2012,11,306941670.0
155,Fun with Dick and Jane,Comedy,100000000.0,90.0,2005,12,202026112.0
156,The Last Samurai,Drama,140000000.0,154.0,2003,12,456758981.0
157,Exodus: Gods and Kings,Adventure,140000000.0,150.0,2014,12,268031828.0
158,Star Trek,Science Fiction,150000000.0,127.0,2009,5,385680446.0
159,Spider-Man,Fantasy,139000000.0,121.0,2002,5,821708551.0
160,How to Train Your Dragon 2,Fantasy,145000000.0,102.0,2014,6,609123048.0
161,Gods of Egypt,Fantasy,140000000.0,127.0,2016,2,150680864.0
162,Stealth,Action,135000000.0,121.0,2005,7,76932943.0
163,Watchmen,Action,130000000.0,163.0,2009,3,185258983.0
164,Lethal Weapon 4,Action,140000000.0,127.0,1998,7,285444603.0
165,Hulk,Drama,137000000.0,138.0,2003,6,245360480.0
166,G.I. Joe: Retaliation,Adventure,130000000.0,110.0,2013,3,371876278.0
167,Sahara,Action,130000000.0,124.0,2005,4,119269486.0
168,Final Fantasy: The Spirits Within,Adventure,137000000.0,106.0,2001,7,85131830.0
169,Captain America: The First Avenger,Action,140000000.0,124.0,2011,7,370569774.0
170,The World Is Not Enough,Adventure,135000000.0,128.0,1999,11,361832400.0
171,Master and Commander: The Far Side of the World,Adventure,150000000.0,138.0,2003,11,212011111.0
172,The Twilight Saga: Breaking Dawn - Part 2,Adventure,120000000.0,115.0,2012,11,829000000.0
173,Happy Feet Two,Animation,130000000.0,100.0,2011,11,150406466.0
174,The Incredible Hulk,Science Fiction,150000000.0,114.0,2008,6,163712074.0
175,The BFG,Adventure,140000000.0,120.0,2016,6,183345589.0
176,The Revenant,NA,135000000.0,156.0,2015,12,532950503.0
177,Turbo,Animation,135000000.0,96.0,2013,7,282570682.0
178,Rango,Animation,135000000.0,107.0,2011,3,245724603.0
179,Penguins of Madagascar,NA,132000000.0,92.0,2014,11,373552094.0
180,The Bourne Ultimatum,Action,70000000.0,115.0,2007,8,442824138.0
181,Kung Fu Panda,Adventure,130000000.0,90.0,2008,6,631744560.0
182,Ant-Man,Science Fiction,130000000.0,117.0,2015,7,519311965.0
183,The Hunger Games: Catching Fire,Adventure,130000000.0,146.0,2013,11,847423452.0
184,Home,Fantasy,135000000.0,94.0,2015,3,368871007.0
185,War of the Worlds,Adventure,132000000.0,116.0,2005,6,591739379.0
186,Bad Boys II,Adventure,130000000.0,147.0,2003,7,273339556.0
187,Puss in Boots,Action,130000000.0,90.0,2011,10,554987477.0
188,Salt,Action,110000000.0,100.0,2010,7,293329073.0
189,Noah,Drama,125000000.0,139.0,2014,3,362637473.0
190,The Adventures of Tintin,Adventure,130000000.0,107.0,2011,10,371940071.0
191,Harry Potter and the Prisoner of Azkaban,Adventure,130000000.0,141.0,2004,5,789804554.0
192,Australia,Drama,130000000.0,165.0,2008,11,49554002.0
193,After Earth,Science Fiction,130000000.0,100.0,2013,5,243843127.0
194,Dinosaur,Animation,127500000.0,82.0,2000,5,354248063.0
195,Night at the Museum: Secret of the Tomb,Adventure,127000000.0,97.0,2014,12,349424282.0
196,Megamind,Animation,130000000.0,95.0,2010,10,321887208.0
197,Harry Potter and the Philosopher's Stone,Adventure,125000000.0,152.0,2001,11,976475550.0
198,R.I.P.D.,Fantasy,130000000.0,96.0,2013,7,61648500.0
199,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,140000000.0,143.0,2003,7,655011224.0
200,The Hunger Games: Mockingjay - Part 1,Science Fiction,125000000.0,123.0,2014,11,752100229.0
201,The Da Vinci Code,Thriller,125000000.0,149.0,2006,5,767820459.0
202,Rio 2,Animation,103000000.0,102.0,2014,3,500188435.0
203,X2,Adventure,110000000.0,133.0,2003,4,407711549.0
204,Fast Five,Action,125000000.0,130.0,2011,4,626137675.0
205,Sherlock Holmes: A Game of Shadows,Adventure,125000000.0,129.0,2011,11,334615000.0
206,Clash of the Titans,Adventure,125000000.0,106.0,2010,4,232713139.0
207,Total Recall,Action,65000000.0,113.0,1990,6,261317921.0
208,The 13th Warrior,Adventure,160000000.0,102.0,1999,8,61698899.0
209,The Bourne Legacy,Action,130000000.0,120.0,2012,8,276572938.0
210,Batman & Robin,Action,125000000.0,125.0,1997,6,238207122.0
211,How the Grinch Stole Christmas,NA,123000000.0,104.0,2000,11,345141403.0
212,The Day After Tomorrow,Action,125000000.0,124.0,2004,5,544272402.0
213,Mission: Impossible II,Adventure,125000000.0,123.0,2000,5,546388105.0
214,The Perfect Storm,Drama,120000000.0,130.0,2000,3,325756637.0
215,Fantastic 4: Rise of the Silver Surfer,Adventure,130000000.0,92.0,2007,6,289047763.0
216,Life of Pi,Adventure,120000000.0,127.0,2012,11,609016565.0
217,Ghost Rider,Thriller,110000000.0,114.0,2007,2,228738393.0
218,Jason Bourne,Action,120000000.0,123.0,2016,7,415484914.0
219,Charlie's Angels: Full Throttle,Action,120000000.0,106.0,2003,6,259175788.0
220,Prometheus,Science Fiction,130000000.0,124.0,2012,5,403170142.0
221,Stuart Little 2,NA,120000000.0,78.0,2002,7,169956806.0
222,Elysium,Science Fiction,115000000.0,109.0,2013,8,286140700.0
223,The Chronicles of Riddick,Action,105000000.0,119.0,2004,6,115772733.0
224,RoboCop,Action,120000000.0,102.0,2014,1,242688965.0
225,Speed Racer,Action,120000000.0,135.0,2008,5,93945766.0
226,How Do You Know,Comedy,120000000.0,121.0,2010,12,48668907.0
227,Knight and Day,Action,117000000.0,109.0,2010,6,261930431.0
228,Oblivion,Action,120000000.0,124.0,2013,4,286168572.0
229,Star Wars: Episode III - Revenge of the Sith,Science Fiction,113000000.0,140.0,2005,5,850000000.0
230,Star Wars: Episode II - Attack of the Clones,Adventure,120000000.0,142.0,2002,5,649398328.0
231,"Monsters, Inc.",Animation,115000000.0,92.0,2001,11,562816256.0
232,The Wolverine,Action,120000000.0,126.0,2013,7,415440673.0
233,Star Wars: Episode I - The Phantom Menace,Adventure,115000000.0,136.0,1999,5,924317558.0
234,The Croods,Adventure,135000000.0,98.0,2013,3,585178928.0
235,Asterix at the Olympic Games,Fantasy,97250400.0,116.0,2008,1,132900000.0
236,Windtalkers,Drama,115000000.0,134.0,2002,6,77628265.0
237,The Huntsman: Winter's War,Action,115000000.0,114.0,2016,4,164602163.0
238,Teenage Mutant Ninja Turtles,Science Fiction,125000000.0,101.0,2014,8,477200000.0
239,Gravity,Science Fiction,105000000.0,91.0,2013,9,716392705.0
240,Dante's Peak,Action,116000000.0,108.0,1997,2,178127760.0
241,Teenage Mutant Ninja Turtles: Out of the Shadows,Fantasy,135000000.0,112.0,2016,6,245623848.0
242,Fantastic Four,Action,120000000.0,100.0,2015,8,167977596.0
243,Night at the Museum,Action,110000000.0,108.0,2006,10,574480841.0
244,San Andreas,Action,110000000.0,114.0,2015,5,470490832.0
245,Tomorrow Never Dies,Adventure,110000000.0,119.0,1997,12,333011068.0
246,The Patriot,Drama,110000000.0,165.0,2000,6,215294342.0
247,Ocean's Twelve,Thriller,110000000.0,125.0,2004,12,362744280.0
248,Mr. & Mrs. Smith,Action,110000000.0,120.0,2005,6,478207520.0
249,Insurgent,Adventure,110000000.0,119.0,2015,3,295238201.0
250,The Aviator,Drama,116000000.0,170.0,2004,12,102000000.0
251,Gulliver's Travels,Comedy,112000000.0,85.0,2010,12,237382724.0
252,The Green Hornet,Action,120000000.0,119.0,2011,1,227817248.0
253,300: Rise of an Empire,Action,110000000.0,102.0,2014,3,337580051.0
254,The Smurfs,Animation,110000000.0,103.0,2011,7,563749323.0
255,Home on the Range,Animation,110000000.0,76.0,2004,4,103951461.0
256,Allegiant,Adventure,110000000.0,121.0,2016,3,179246868.0
257,Real Steel,Action,110000000.0,127.0,2011,9,299268508.0
258,The Smurfs 2,Fantasy,105000000.0,105.0,2013,7,347434178.0
259,Speed 2: Cruise Control,Action,160000000.0,121.0,1997,6,164508066.0
260,Ender's Game,Science Fiction,110000000.0,114.0,2013,10,125537191.0
261,Live Free or Die Hard,Action,110000000.0,128.0,2007,6,383531464.0
262,The Lord of the Rings: The Fellowship of the Ring,Adventure,93000000.0,178.0,2001,12,871368364.0
263,Around the World in 80 Days,Action,110000000.0,120.0,2004,6,72178895.0
264,Ali,Drama,107000000.0,157.0,2001,12,87713825.0
265,The Cat in the Hat,Comedy,,82.0,2003,11,
266,"I, Robot",Action,120000000.0,115.0,2004,7,347234916.0
267,Kingdom of Heaven,Drama,130000000.0,144.0,2005,5,211643158.0
268,Stuart Little,Animation,133000000.0,84.0,1999,12,300135367.0
269,The Princess and the Frog,Romance,105000000.0,97.0,2009,12,267045765.0
270,The Martian,Drama,108000000.0,141.0,2015,9,630161890.0
271,The Island,Action,126000000.0,136.0,2005,7,162949164.0
272,Town & Country,Comedy,90000000.0,104.0,2001,4,10372291.0
273,Gone in Sixty Seconds,Action,90000000.0,118.0,2000,6,237202299.0
274,Gladiator,Action,103000000.0,155.0,2000,5,457640427.0
275,Minority Report,Action,102000000.0,145.0,2002,6,358372926.0
276,Harry Potter and the Chamber of Secrets,Adventure,100000000.0,161.0,2002,11,876688482.0
277,Casino Royale,Adventure,150000000.0,144.0,2006,11,599045960.0
278,Planet of the Apes,Thriller,100000000.0,119.0,2001,7,362211740.0
279,Terminator 2: Judgment Day,Action,100000000.0,137.0,1991,7,520000000.0
280,Public Enemies,NA,80000000.0,140.0,2009,7,214104620.0
281,American Gangster,Drama,100000000.0,157.0,2007,11,266465037.0
282,True Lies,Action,115000000.0,141.0,1994,7,378882411.0
283,The Taking of Pelham 1 2 3,Thriller,100000000.0,106.0,2009,6,150166126.0
284,Little Fockers,Comedy,100000000.0,98.0,2010,12,310650585.0
285,The Other Guys,Action,100000000.0,107.0,2010,8,170432927.0
286,Eraser,Action,100000000.0,115.0,1996,6,242295562.0
287,Django Unchained,Drama,100000000.0,165.0,2012,12,425368238.0
288,The Hunchback of Notre Dame,Drama,100000000.0,91.0,1996,6,100138851.0
289,The Emperor's New Groove,Adventure,100000000.0,78.0,2000,12,169327687.0
290,The Expendables 2,Action,100000000.0,103.0,2012,8,312573423.0
291,National Treasure,Adventure,100000000.0,131.0,2004,11,347451894.0
292,Eragon,Fantasy,100000000.0,104.0,2006,12,249288105.0
293,Where the Wild Things Are,NA,100000000.0,101.0,2009,10,100086793.0
294,Epic,Animation,100000000.0,102.0,2013,5,268426634.0
295,The Tourist,Action,100000000.0,103.0,2010,12,278731369.0
296,End of Days,Action,100000000.0,121.0,1999,11,211989043.0
297,Blood Diamond,Drama,100000000.0,143.0,2006,12,170877916.0
298,The Wolf of Wall Street,Crime,100000000.0,180.0,2013,12,392000694.0
299,Batman Forever,Action,100000000.0,121.0,1995,5,336529144.0
300,Starship Troopers,Adventure,105000000.0,129.0,1997,11,121214377.0
301,Cloud Atlas,Drama,102000000.0,172.0,2012,10,130482868.0
302,Legend of the Guardians: The Owls of Ga'Hoole,Animation,80000000.0,97.0,2010,7,140073390.0
303,Catwoman,Action,100000000.0,104.0,2004,7,82102379.0
304,Hercules,Action,100000000.0,99.0,2014,7,243400000.0
305,Treasure Planet,Adventure,140000000.0,95.0,2002,11,109578115.0
306,Land of the Lost,Adventure,100000000.0,102.0,2009,6,68688831.0
307,The Expendables 3,Action,90000000.0,127.0,2014,8,206172544.0
308,Point Break,Action,105000000.0,114.0,2015,12,133718711.0
309,Son of the Mask,Fantasy,84000000.0,94.0,2005,2,
310,In the Heart of the Sea,Thriller,100000000.0,122.0,2015,11,93820758.0
311,The Adventures of Pluto Nash,Action,100000000.0,95.0,2002,8,7103973.0
312,Green Zone,NA,100000000.0,115.0,2010,3,94882889.0
313,The Peanuts Movie,Animation,99000000.0,88.0,2015,11,246233113.0
314,The Spanish Prisoner,Crime,10000000.0,110.0,1997,9,13835130.0
315,The Mummy Returns,Adventure,98000000.0,130.0,2001,4,433013274.0
316,Gangs of New York,Drama,100000000.0,167.0,2002,12,193772504.0
317,The Flowers of War,Drama,94000000.0,145.0,2011,12,95311434.0
318,Surf's Up,Animation,85000000.0,85.0,2007,6,149044513.0
319,The Stepford Wives,Action,90000000.0,93.0,2004,6,102000000.0
320,Black Hawk Down,Action,92000000.0,144.0,2001,12,172989651.0
321,The Campaign,Comedy,,85.0,2012,8,104907746.0
322,The Fifth Element,Adventure,90000000.0,126.0,1997,5,263920180.0
323,Sex and the City 2,Comedy,100000000.0,146.0,2010,5,288347692.0
324,The Road to El Dorado,Adventure,95000000.0,89.0,2000,3,76432727.0
325,Ice Age: Continental Drift,Animation,95000000.0,88.0,2012,6,877244782.0
326,Cinderella,Romance,95000000.0,105.0,2015,3,543514353.0
327,The Lovely Bones,Fantasy,65000000.0,136.0,2009,12,93525586.0
328,Finding Nemo,Animation,94000000.0,100.0,2003,5,940335536.0
329,The Lord of the Rings: The Return of the King,Adventure,94000000.0,201.0,2003,12,1118888979.0
330,The Lord of the Rings: The Two Towers,Adventure,79000000.0,179.0,2002,12,926287400.0
331,Seventh Son,Adventure,95000000.0,102.0,2014,12,114178613.0
332,Lara Croft: Tomb Raider,Adventure,115000000.0,100.0,2001,6,274703340.0
333,Transcendence,Thriller,100000000.0,119.0,2014,4,103039258.0
334,Jurassic Park III,Adventure,93000000.0,92.0,2001,7,368780809.0
335,Rise of the Planet of the Apes,Thriller,93000000.0,105.0,2011,8,482860185.0
336,The Spiderwick Chronicles,Adventure,90000000.0,95.0,2008,2,162839667.0
337,A Good Day to Die Hard,Action,92000000.0,98.0,2013,2,304654182.0
338,The Alamo,NA,145000000.0,137.0,2004,4,25819961.0
339,The Incredibles,Action,92000000.0,115.0,2004,11,631442092.0
340,Cutthroat Island,Action,98000000.0,119.0,1995,12,10017322.0
341,Percy Jackson & the Olympians: The Lightning Thief,Adventure,95000000.0,118.0,2010,2,226497209.0
342,Men in Black,Action,90000000.0,98.0,1997,7,589390539.0
343,Toy Story 2,Animation,90000000.0,92.0,1999,10,497366869.0
344,Unstoppable,Action,100000000.0,98.0,2010,11,167805466.0
345,Rush Hour 2,Action,90000000.0,90.0,2001,8,347325802.0
346,What Lies Beneath,Drama,100000000.0,130.0,2000,7,155464351.0
347,Cloudy with a Chance of Meatballs,Animation,100000000.0,90.0,2009,9,242988466.0
348,Ice Age: Dawn of the Dinosaurs,Animation,90000000.0,94.0,2009,6,886686817.0
349,The Secret Life of Walter Mitty,Adventure,90000000.0,114.0,2013,12,188133322.0
350,Charlie's Angels,Action,92000000.0,98.0,2000,11,264105545.0
351,The Departed,Drama,90000000.0,151.0,2006,10,289847354.0
352,Mulan,Animation,90000000.0,88.0,1998,6,304320254.0
353,Tropic Thunder,Action,92000000.0,107.0,2008,8,188072649.0
354,The Girl with the Dragon Tattoo,Thriller,90000000.0,158.0,2011,12,232617430.0
355,Die Hard: With a Vengeance,Action,90000000.0,128.0,1995,5,366101666.0
356,Sherlock Holmes,Action,90000000.0,128.0,2009,12,524028679.0
357,Ben-Hur,Drama,100000000.0,125.0,2016,8,94061311.0
358,Atlantis: The Lost Empire,Animation,120000000.0,95.0,2001,6,186053725.0
359,Alvin and the Chipmunks: The Road Chip,Adventure,,92.0,2015,12,233755553.0
360,Valkyrie,Drama,75000000.0,121.0,2008,12,200276000.0
361,You Don't Mess with the Zohan,Comedy,90000000.0,113.0,2008,6,201596308.0
362,Pixels,Action,88000000.0,105.0,2015,7,243637091.0
363,A.I. Artificial Intelligence,Drama,100000000.0,146.0,2001,6,235926552.0
364,The Haunted Mansion,Thriller,90000000.0,99.0,2003,11,182290266.0
365,Contact,Drama,90000000.0,150.0,1997,7,171120329.0
366,Hollow Man,Action,95000000.0,112.0,2000,8,190213455.0
367,The Interpreter,Crime,80000000.0,128.0,2005,4,162944923.0
368,Percy Jackson: Sea of Monsters,Adventure,90000000.0,106.0,2013,8,174578751.0
369,Lara Croft Tomb Raider: The Cradle of Life,Action,95000000.0,117.0,2003,7,156505388.0
370,Now You See Me 2,Action,90000000.0,129.0,2016,6,334901337.0
371,The Saint,Thriller,68000000.0,116.0,1997,4,118063304.0
372,Spy Game,Action,92000000.0,126.0,2001,11,143049560.0
373,Mission to Mars,Science Fiction,90000000.0,114.0,2000,3,60874615.0
374,Rio,Animation,90000000.0,96.0,2011,4,484635760.0
